description,subject
 Fundamental concept: The relationship between the business problem and the analytics solution often can be decomposed into tractable subproblems via the framework of analyzing expected value,DS
" Various tools for mining data exist, but business problems rarely come neatly prepared for their application",DS
" Breaking the business problem up into components corresponding to estimating probabilities and computing or estimating values, along with a structure for recombining the components, is broadly useful",DS
 We have many specific tools for estimating probabilities and values from data,DS
" For our churn example, should the value of the customer be taken into account in addition to the likelihood of leaving? It is difficult to realistically assess any customer-targeting solution without phrasing the problem as one of expected value",DS
 Fundamental concept: Information technology can be used to find informative data items from within a large body of data,DS
 One of the first data-science concepts encountered in business-analytics scenarios is the notion of finding correlations,DS
" â€کâ€کCorrelationâ€™â€™ often is used loosely to mean data items that provide information about other data itemsâ€”specifically, known quantities that reduce our uncertainty about unknown quantities",DS
" In our churn example, a quantity of interest is the likelihood that a particular customer will leave after her contract expires",DS
" Before the contract expires, this would be an unknown quantity",DS
" However, there may be known data items (usage, service history",DS
 Data scientists are a new breed of analytical data expert who have the technical skills to solve complex problems â€“ and the curiosity to explore what problems need to be solved,DS
"Theyâ€™re part mathematician, part computer scientist and part trend-spotter",DS
" And, because they straddle both the business and IT worlds, theyâ€™re highly sought-after and well-paid",DS
 Who wouldnâ€™t want to be one?,DS
Theyâ€™re also a sign of the times,DS
" Data scientists werenâ€™t on many radars a decade ago, but their sudden popularity reflects how businesses now think about big data",DS
 That unwieldy mass of unstructured information can no longer be ignored and forgotten,DS
 Itâ€™s a virtual gold mine that helps boost revenue â€“ as long as thereâ€™s someone who digs in and unearths business insights that no one thought to look for before,DS
 Enter the data scientist,DS
Where did they come from?,DS
Many data scientists began their careers as statisticians or data analysts,DS
" But as big data (and big data storage and processing technologies such as Hadoop) began to grow and evolve, those roles evolved as well",DS
 Data is no longer just an afterthought for IT to handle,DS
" Itâ€™s key information that requires analysis, creative curiosity and a knack for translating high-tech ideas into new ways to turn a profit",DS
The data scientist role also has academic origins,DS
" A few years ago, universities began to recognize that employers wanted people who were programmers and team players",DS
" Professors tweaked their classes to accommodate this â€“ and some programs, such as the Institute for Advanced Analytics at North Carolina State University, prepared to churn out the next generation of data scientists",DS
 There are now more than 60 similar programs in universities around the countr,DS
 Most of the organizations have on their hands mountains of data that they could use in making decisions,DS
" The possibilities are infinite when answering business questions by companyâ€™s using data accumulated in Data Warehouse and, in the same manner, in data base unstructured or text format generated by Social Media",DS
 The answers are hard to find,DS
" Big Data concept is percept by many as to be referring to data received from structured and unstructured data coming from the classic and new type sources, like social media, but all related to human activity [1]",DS
 Lately the data generated by sensors (M2M phenomenon) began to generate the largest volumes of information that need to be analyzed and read,DS
" Todays tot analyests are more wizerds than giving simple reports, because they also use creativity skills and insight informations for strategic analysis",DS
 Data wizerds are using their ability in the activity including personal knowlage given by the experience with analytic procces and associated applications,DS
" They not only understend the given tasks but also the needs of the companies manangement department, but also have the klowleage where to find those informations suiteble for taking strategical decisions",DS
" With all this, most of the caseses of data wizers positions are filled by people not qualified for extracting data for analysis or doing consolidation data structures at company level",DS
 In this domain the applications are helping improve the profesional level,DS
 This paper wants to address this aspect of the necesar transformation of the Big Data analyst wizer into a specials in the domain of large volumes informations analysis,DS
 The discussions aroundخ‌theخ‌notionخ‌â€œBig Dataâ€‌خ‌ most of the times start from false premisesâ€™,DS
" Most of the discussions are regarding on technological platforms of processing Big Data concentrated on volume, variety, speed and leaving aside any reference of value",DS
" In order to obtain value from Big Data is required to add contextual information, which can be obtain just through placing analytic capabilities in the hands of the ones that need to extract the value",DS
" In other words, Big Data isخ‌inخ‌needخ‌ofخ‌â€کhumanizationâ€™",DS
" To humanize means to transform something inaccessible in something usable, making difficult â€“ easy, from complex â€“ simple, from abstract â€“ concretely",DS
 Meaning the process of puttingخ‌ theخ‌ informationخ‌ intoخ‌ contextخ‌ toخ‌ â€کtell the storyâ€™خ‌ aboutخ‌ whom and what generates that information,DS
" Bigخ‌Dataخ‌mustخ‌ beخ‌extractخ‌ fromخ‌theخ‌ â€کbitsâ€™خ‌ andخ‌ â€کbytesâ€™خ‌ worldخ‌ inخ‌ whichخ‌ areخ‌ availableخ‌ justخ‌ forخ‌ experts and made accessible, useful and capableخ‌toخ‌â€کtell the storyâ€™;خ‌justخ‌inخ‌thisخ‌mannerخ‌ they must be converted into real insight for real business people",DS
"خ‌Bigخ‌Dataخ‌mustخ‌beخ‌â€کdown to earthâ€™, right there the people that know the business can use that information to make decisions, revealing in this way their real value",DS
 Big Data humanization depends on two critical elements,DS
 Data easy access,DS
"the ability to access, integrate, analyze Big Data should be available for data and business analysts involved in making strategic decisions in the organization",DS
" Access to suitable instruments able to give context, that helps Big Data to â€کtell the storyâ€™: Big Data could offer a convertible business image only if is linked by the full context offered by all available data and if can be run sophisticated analysis without the need of advance data science and statistic knowledge",DS
 Working current flux of Big Data uses to many resources and humans to generate value,DS
 With most BI tools (Business Intelligence) existing create reports and analysis only based on previous structured data,DS
" These are, usually, only internal data, without inside data from the market, competitive intelligence and geographic data",DS
" Because of this, the results tell only one side to the story",DS
 Working current fluxes of Big Data have several components,DS
 The data must be acquired from countless sources and clean up,DS
" Then, the data mast be sorted and linked in such a way that allows interrogationsâ€™",DS
 After words must be stored in the system as file types that accepts unstructured formats,DS
" The analysts and software developers have after to work together in statistics environments like R, SAS and SPSS to interrogate the data [2]",DS
" In the end, the result data can be visualize in several forms â€“ as statistic report or, sometimes, as 2D or 3D visualizations",DS
" As result, working Big Data fluxes â€“ as available today â€“ are looking more as jumps than as fluent fluxes",DS
 The problem is created by the situation that all this work is not lead by a business user working in team with data analysts,DS
" Executed mostly by a team of IT specialists from â€کbehind the sceneâ€™ and each step of the process requires the involvement of someone else which has, usually, substantial setbacks with other projects",DS
" Big Data working fluxes involves a finite number of changes and reruns, resulting in delays due to huge requests from the advance analytical abilities persona",DS
" The person closes to the business user, the dataخ‌ orخ‌ businessخ‌ analyst,خ‌ canâ€™tخ‌ perform by himself a large part of the work and in this way time that runs between interrogations and insight informationâ€™s records significant delays",DS
" In fact, most of the times, decisions are taken based on limited informationâ€™s, before the results from working Big Data flux came back",DS
" Because of it, fast and independent access of data analysts and capabilities given and powerful tools, are the core of the humanization of data",DS
" Following will discuss about the emancipation of the analyst role existing in company by upgrading them to wizard rank, capable to extract important insight, backing up the decisional factors with informationâ€™s that help taking fast and fully informed decisions",DS
" Big Data humanization makes that â€™large volumes of dataâ€™ to become accesible for analysts in the companies, offering the abilities availables, most of the time, only for IT (Information Technology) department",DS
" Makig possible presenting the data as informations, easy accessible and related to the subjects",DS
 Is about an analysis based on Big Data effortless and in a natural manner,DS
" In order not to focus strictly on software development and statistic abilities, data obtained can be humanize by adding right context and by offering simple and direct tools for building analitic applications",DS
" Big Data humanization means direct work with data, in such a way that they cand tell their story",DS
" The complete image leads, in this way, to insight business",DS
" Meaning, also, a new oportunity for data analysts to perfect their art and to extend the capacity of independent way of analysis",DS
" They become, from data wizers specialists in data analysis",DS
" Big Data humanization makes that â€™large volumes of dataâ€™ to become accesible for analysts in the companies, offering the abilities availables, most of the time, only for IT (Information Technology) department",DS
" Makig possible presenting the data as informations, easy accessible and related to the subjects",DS
 Is about an analysis based on Big Data effortless and in a natural manner,DS
" In order not to focus strictly on software development and statistic abilities, data obtained can be humanize by adding right context and by offering simple and direct tools for building analitic applications",DS
" Big Data humanization means direct work with data, in such a way that they cand tell their story",DS
" The complete image leads, in this way, to insight business",DS
" Meaning, also, a new oportunity for data analysts to perfect their art and to extend the capacity of independent way of analysis",DS
" They become, from data wizers specialists in data analysis",DS
" In the past, data analysts requared advance knowleage of statistics and business",DS
" In this moment, being able to access to analytic and contextual data tools, which usually were accessible only to data experts and IT, the analysts can become masters of data",DS
" A wizerd is a person that takes raw materials (data in our case) and uses their skill, knowledge and vision to create something of unique value",DS
" Data wizerds have a superior understanding not only over the data they observe, but also also the business and its problems",DS
" Because the data wizers understand data and business so well that they can provide the right tools to use, obtaining in this way the most suitable results and ways to aply , several times, for business problems",DS
 Work of data wizerds is the essence of Big Data humanization,DS
 Data wizerds are â€کhumanization mastersâ€™خ‌ when talking about Big Data,DS
" They create data and analytic working fluxs that revel the true story, regardless if they deliver an answer to a specific questions or a new application for business users at the end of the process",DS
 Is considered by the data analysts that the given data by the automatic sensors will generate the next wave of growing in production and technological innovation,DS
" Statistic reports show, for example, that being engines witch are working on the planes in use worldwide have reached the point of generatingخ‌ 10خ‌ TBخ‌ ofخ‌ dataخ‌ andخ‌ informationâ€™sخ‌ for every half of hour of functioning",DS
 A line plane with four engines can generate 640 TB of data for one flight across Atlantic,DS
 If the number is multiplied by over 25,DS
"000 flights every day, the obtained volume of data is overwhelming",DS
" Until now, almost all this data was lost at the end of the flight, but things are going to change",DS
" Why? Thanks to the tools and technology of Big Data, now ca identify, store, redraw and analyze the data in an efficient manner regarding costs and time use",DS
" This will provide huge opportunities, for example in the area on maintenance and defects prevision for planes â€“ with direct effects in reducing the flights delays and cancelation reasons due to technical defects on planes",DS
 The example given above is not unique,DS
" The practice case of the data obtained by sensors can be now efficiently analysis, in real time, in several activity areas",DS
" For example, intelligent sensors used in electric networks can generate large volumes of data which can be used to increase productivity",DS
" As agriculture and agricol industry is considered one of the strategic engines of operating the romanian economy in the future, one case study has showed that using Big Data in an agricol area in USA might raise the interest to use such solutions to increase efficiency of production also in Romania",DS
" Concret, is about a project taking place in Flint Valley River, a land specific for agriculture from south-west of Georgia",DS
" At the finish of this project, the landlords from the are will receive extrem precice forecast, each one for his specific farm from three days ahead",DS
" Around this time, a team of resurcers from Flint River Soil and Water Conservation District, American Agricultural Department, Georgia University and IBM are using Big Data sophisticated tools to analyze big volumes of forecast weather data, geografic, historical and of other nature",DS
 The purpose is to pathern the forcast phenomenons to a very precise manner then the ones we already have available today,DS
" This kinds of forecasts will help the farmers to make smart decisions related to watering solutions, sowing, harvest and soil fertilization, that will permit them to better use the water supply and increase the volume of the harvest",DS
 Flint River Valley represents an important part of Agricola industry in the state of Georgia,DS
 The farms from this region of 27 districts represent an annual income of around 2 billions dollars at the revenues of United States,DS
" With approximately ten years back, the authority of water conservation from this region signed a partnership with American Agriculture Department, University of Georgia and other local, regional and state agencies to promote the practices of conservation the use water between farmers of the area",DS
 The effort done in the meantime has already started to provide important results,DS
 One so called VRI technology (Variable Rate Irrigation) developed by resources from Georgiaâ€™sخ‌Universityخ‌hasخ‌passedخ‌fastخ‌fromخ‌theخ‌ concept state to a commercial product,DS
" Based on GPS, this technology allows farmers to arrange the water sprinklers, in such a way that the water will be use efficient only in the needed areas by redirecting the jets",DS
 The project linked to Big Data using for efficient forecast pattern is the second big project developed by the entities named above and has no release date yet,DS
 The outcome at the end of this project will generate improved forecasts and also mobility by using intelligent devices like pads and smart phones,DS
" Regardless the general positive phenomenon over the efficiency of forensic data analysis, the study shows that the majority of companies are not working with big enough data in comparison with the corporative income",DS
 Only 18% of intern audit specialists interviewed are working with large volumes over a million records,DS
" Between them, the ones in financial business, only 21% have declaimed to work with large volumes of data of approximately or over milion recordings, a low percent for a concentration segment of data",DS
" Per assemble, 71% of the companies with revenues over 1 billion USD are working with sets of data under 1 million recordings",DS
" The usage of smaller volumes of data than expected, in comparison with the companies revenues, are an indication that many companies can miss important opportunity to prevent and identify defraud just because they are not working with large volumes of data",DS
" Forensic data analysis advance tools, like statistic analysis and mining data technologies, are used only by 10% of the ones questioned",DS
" Is not, as result, a big surprise the fact that the bigger challenge mentioned regarding forensic data analysis is ""obtaining the necessary expertise or the suitable tools """,DS
" From the study, as conclusion, that the support of the efforts of using forensic data analysis inside the company seems like a key task",DS
" So, 62% of the questions ones have stated that is necessary to improve awareness in management team over the benefits given by forensic data analysis",DS
" Interesting is the fact that the one responsible are not considering the costs as a major obstacle, Most of the organizations have on their hands mountains of data that they could use in making decisions",DS
" The possibilities are infinite when answering business questions by companyâ€™s using data accumulated in Data Warehouse and, in the same manner, in data base unstructured or text format generated by Social Media",DS
 The answers are hard to find,DS
" Big Data concept is percept by many as to be referring to data received from structured and unstructured data coming from the classic and new type sources, like social media, but all related to human activity [1]",DS
 Lately the data generated by sensors (M2M phenomenon) began to generate the largest volumes of information that need to be analyzed and read,DS
" Todays tot analyests are more wizerds than giving simple reports, because they also use creativity skills and insight informations for strategic analysis",DS
 Data wizerds are using their ability in the activity including personal knowlage given by the experience with analytic procces and associated applications,DS
" They not only understend the given tasks but also the needs of the companies manangement department, but also have the klowleage where to find those informations suiteble for taking strategical decisions",DS
" With all this, most of the caseses of data wizers positions are filled by people not qualified for extracting data for analysis or doing consolidation data structures at company level",DS
 In this domain the applications are helping improve the profesional level,DS
 This paper wants to address this aspect of the necesar transformation of the Big Data analyst wizer into a specials in the domain of large volumes informations analysis,DS
 The discussions aroundخ‌theخ‌notionخ‌â€œBig Dataâ€‌خ‌ most of the times start from false premisesâ€™,DS
" Most of the discussions are regarding on technological platforms of processing Big Data concentrated on volume, variety, speed and leaving aside any reference of value",DS
" In order to obtain value from Big Data is required to add contextual information, which can be obtain just through placing analytic capabilities in the hands of the ones that need to extract the value",DS
" In other words, Big Data isخ‌inخ‌needخ‌ofخ‌â€کhumanizationâ€™",DS
" To humanize means to transform something inaccessible in something usable, making difficult â€“ easy, from complex â€“ simple, from abstract â€“ concretely",DS
 Meaning the process of puttingخ‌ theخ‌ informationخ‌ intoخ‌ contextخ‌ toخ‌ â€کtell the storyâ€™خ‌ aboutخ‌ whom and what generates that information,DS
 Big Data humanization depends on two critical elements,DS
 Data easy access,DS
"the ability to access, integrate, analyze Big Data should be available for data and business analysts involved in making strategic decisions in the organization",DS
" Access to suitable instruments able to give context, that helps Big Data to â€کtell the storyâ€™: Big Data could offer a convertible business image only if is linked by the full context offered by all available data and if can be run sophisticated analysis without the need of advance data science and statistic knowledge",DS
"Game design is a large field, drawing from the fields of computer science/programming, creative writing, and graphic design",GD
 Game designers take the creative lead in imagining and bringing to life video game worlds,GD
" This article helps international students understand the nature of game design, distinguishes the discipline from other specialized game degrees and identifies the capacities in which game design graduates will be prepared to serve on a development team when working in a studio",GD
"Video games are a thriving industry both in the US and abroad, and the number of careers pertaining to the creation of video games has increased exponentially",GD
" Seizing on this trend, a growing number of international students have decided to take their passion for playing video games and turn it into a career in game design",GD
" Designing video games is a dream job for many gamers, and the reasons that are making the decision to study game design so popular are plenty; the video game industry is home to diverse job opportunities, enjoyable and fun work environments and high starting salaries",GD
 International students who study game design will be on their way to a career that thrives on creativity and imagination,GD
"However, not everyone who enjoys playing video games will enjoy creating them",GD
" In fact, creating a video game is a long and complex process with many subsequent tasks and roles required to make a finished, playable product",GD
" To successfully study game design, an international student will need to inquire about more than just the fun they will have being immersed in game-related curriculum",GD
" In order to know whether a degree in game design is right for them, international students will need to ask, ""What is game design?""",GD
"So, what is game design? Game design is a subset of the field of video game development",GD
 Game design is a field with a broad focus,GD
" As such, the skills of a game designer are drawn from the fields of computer science and programming, creative writing and graphic design",GD
" Game designers take the creative lead in imagining and bringing to life video game stories, characters, gameplay, rules, interfaces, dialogue and environments",GD
" This being the case, a game designer is a cross between a writer, artist and programmer",GD
" It is an individual who presents a comprehensive artistic vision, while also possessing the technical skill to oversee and contribute to programming, image rendering, level design, digital editing and other construction aspects of game design",GD
A game designer's role on a development team differs from the specialized roles of graphic designers and programmers,GD
" Graphic designers and game programmers have specific tasks to accomplish in the division of labor that goes into creating a video game, international students can major in those specific disciplines if desired",GD
" However, international students who study game design in the US will be groomed to create their own video game from the ground up as well as take on a role on a development team",GD
" That being the case, international students who study game design must decide what role on a development team they would like to have upon graduation",GD
" Once a desired role has been established, an international student should then subsequently fine-tune to the degree they are to receive",GD
 This will ensure that they are optimally prepared for that particular role on a development team until they have the industry credibility necessary in order to be given the reins over creating their very own title,GD
"Game design is a diverse field that will equip graduates to both design and create their own video game universe, but what are the roles on a development team that game designers hold prior to being a lead designer? ",GD
"Level designer:Game writer/storyline developer:Game artist/content designer:Programmer/system designer:World designer:Interface designer:International students who study game design will become familiar with both the overall process of creating a video game as well as the individual elements of software engineering, programming and graphic design utilized in the actual construction of the game",GD
" In order to get the most out of studying game design and to increase the chance of a quick advance on a development team, international students should decide on a specific area of specialization ahead of time",GD
"Despite the initial excitement and allure that comes with pursuing a dream occupation like game design, international students who want to get the most out of their decision to study game design in the United States will have to begin by asking important questions like, ""What is game design?"" Asking these types of preparatory questions will ensure that international students interested in designing their own video games are equipped to effectively contribute to game design teams until they are given the lead on their own project",GD
"Game design is the art of applying design and aesthetics to create a game for entertainment or for educational, exercise, or experimental purposes",GD
" Increasingly, elements and principles of game design are also applied to other interactions, in the form of gamification",GD
" Game designer and developer Robert Zubek defines game design by breaking it down into its elements, which he says are the following:Gameplay, which is the interaction between the player and the mechanics and systems",GD
"Mechanics and systems, which are the rules and objects in the game",GD
"Player experience, which is how users feel when they're playing the game",GD
"Games such as board games, card games, dice games, casino games, role-playing games, sports, video games, war games, or simulation games benefit from the principles of game design",GD
"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations)",GD
" Games have historically inspired seminal research in the fields of probability, artificial intelligence, economics, and optimization theory",GD
 Applying game design to itself is a current research topic in metadesign,GD
" Tabletop games played today whose descent can be traced from ancient times include chess, go, pachisi, backgammon, mahjong, mancala, and pick-up sticks",GD
" The rules of these games were not codified until early modern times and their features gradually evolved and changed over time, through the folk process",GD
" Given this, these games are not considered to have had a designer or been the result of a design process in the modern sense",GD
"After the rise of commercial game publishing in the late 19th century, many games that had formerly evolved via folk processes became commercial properties, often with custom scoring pads or preprepared material",GD
" For example, the similar public domain games Generala, Yacht, and Yatzy led to the commercial game Yahtzee in the mid-1950s",GD
"Today, many commercial games, such as Taboo, Balderdash, Pictionary, or Time's Up!, are descended from traditional parlour games",GD
 Adapting traditional games to become commercial properties is an example of game design,GD
"Similarly, many sports, such as soccer and baseball, are the result of folk processes, while others were designed, such as basketball, invented in 1891 by James Naismith",GD
 Technological advances have provided new media for games throughout history,GD
"The printing press allowed packs of playing cards, adapted from Mahjong tiles, to be mass-produced, leading to many new card games",GD
 Accurate topographic maps produced as lithographs and provided free to Prussian officers helped popularize wargaming,GD
 Cheap bookbinding (printed labels wrapped around cardboard) led to mass-produced board games with custom boards,GD
 Inexpensive (hollow) lead figurine casting contributed to the development of miniature wargaming,GD
 Cheap custom dice led to poker dice,GD
 Flying discs led to disc golf and Ultimate,GD
" Personal computers contributed to the popularity of computer games, leading to the wide availability of video game consoles and video games",GD
 Smart phones have led to a proliferation of mobile games,GD
The first games in a new medium are frequently adaptations of older games,GD
" Pong, one of the first widely disseminated video games, adapted table tennis",GD
 Later games will often exploit the distinctive properties of a new medium,GD
 Adapting older games and creating original games for new media are both examples of game design,GD
" Game studies or gaming theory is a discipline that deals with the critical study of games, game design, players, and their role in society and culture",GD
" Prior to the late-twentieth century, the academic study of games was rare and limited to fields such as history and anthropology",GD
" As the video game revolution took off in the early 1980s, so did academic interest in games, resulting in a field that draws on diverse methodologies and schools of thought",GD
" These influences may be characterized broadly in three ways: the social science approach, the humanities approach, and the industry and engineering approach",GD
"Broadly speaking, the social scientific approach has concerned itself with the question of ""What do games do to people?"" Using tools and methods such as surveys, controlled laboratory experiments, and ethnography researchers have investigated both the positive and negative impacts that playing games could have on people",GD
" More sociologically informed research has sought to move away from simplistic ideas of gaming as either 'negative' or 'positive', but rather seeking to understand its role and location in the complexities of everyday life",GD
"In general terms, the humanities approach has concerned itself with the question of ""What meanings are made through games?"" Using tools and methods such as interviews, ethnographies, and participant observation, researchers have investigated the various roles that videogames play in people's lives and activities together with the meaning they assign to their experiences",GD
" From an industry perspective, a lot of game studies research can be seen as the academic response to the videogame industry's questions regarding the products it creates and sells",GD
" The main question this approach deals with can be summarized as ""How can we create better games?"" with the accompanying ""What makes a game good?"" ""Good"" can be taken to mean many different things, including providing an entertaining and engaging experience, being easy to learn and play, and being innovative, and having novel experiences",GD
 Different approaches to studying this problem have included looking at describing how to design and extracting guidelines and rules of thumb for making better games,GD
 Game theory is a study of strategic decision making,GD
" Specifically, it is ""the study of mathematical models of conflict and cooperation between intelligent rational decision-makers""",GD
"An alternative term suggested ""as a more descriptive name for the discipline"" is interactive decision theory",GD
"[12] The subject first addressed zero-sum games, such that one person's gains exactly equal net losses of the other participant or participants",GD
"Today, however, game theory applies to a wide range of behavioral relations, and has developed into an umbrella term for the logical side of decision science",GD
The games studied in game theory are well-defined mathematical objects,GD
" To be fully defined, a game must specify the following elements: the players of the game, the information and actions available to each player at each decision point, and the payoffs for each outcome",GD
" (Rasmusen refers to these four ""essential elements"" by the acronym ""PAPI""",GD
")A game theorist typically uses these elements, along with a solution concept of their choosing, to deduce a set of equilibrium strategies for each player such that, when these strategies are employed, no player can profit by unilaterally deviating from their strategy",GD
 These equilibrium strategies determine an equilibrium to the gameâ€”a stable state in which either one outcome occurs or a set of outcomes occur with known probability,GD
" Games can be characterized by ""what the player doesand what the player experiences",GD
 This is often referred to as gameplay,GD
 Major key elements identified in this context are tools and rules that define the overall context of game,GD
 Games are often classified by the components required to play them (e,GD
g,GD
" miniatures, a ball, cards, a board and pieces, or a computer)",GD
" In places where the use of leather is well established, the ball has been a popular game piece throughout recorded history, resulting in a worldwide popularity of ball games such as rugby, basketball, football, cricket, tennis, and volleyball",GD
 Other tools are more idiosyncratic to a certain region,GD
" Many countries in Europe, for instance, have unique standard decks of playing cards",GD
 Other games such as chess may be traced primarily through the development and evolution of its game pieces,GD
"Many game tools are tokens, meant to represent other things",GD
" A token may be a pawn on a board, play money, or an intangible item such as a point scored",GD
"Games such as hide-and-seek or tag do not utilise any obvious tool; rather, their interactivity is defined by the environment",GD
 Games with the same or similar rules may have different gameplay if the environment is altered,GD
" For example, hide-and-seek in a school building differs from the same game in a park; an auto race can be radically different depending on the track or street course, even with the same cars",GD
Most games require multiple players,GD
 Single-player games are unique in respect to the type of challenges a player faces,GD
" Unlike a game with multiple players competing with or against each other to reach the game's goal, a single-player game is against an element of the environment, against one's own skills, against time, or against chance",GD
" This is also true of cooperative games, in which multiple players share a common goal and win or lose together",GD
"Many games described as ""single-player"" or ""cooperative"" could alternatively be described as puzzles or recreations, in that they do not involve strategic behavior (as defined by game theory), in which the expected reaction of an opponent to a possible move becomes a factor in choosing which move to make",GD
Games against opponents simulated with artificial intelligence differ from other single-player games in that the algorithms used usually do incorporate strategic behavior,GD
Stories told in games may focus on narrative elements that can be communicated through the use of mechanics and player choice,GD
 Narrative plots in games generally have a clearly defined and simplistic structure,GD
 Mechanical choices on the part of the designer(s) often drastically affect narrative elements in the game,GD
" However, due to a lack of unified and standardized teaching and understanding of narrative elements in games, individual interpretations, methods, and terminology vary wildly",GD
" Because of this, most narrative elements in games are created unconsciously and intuitively",GD
" However, as a general rule, game narratives increase in complexity and scale as player choice or game mechanics increase in complexity and scale",GD
 One example of this is removing a players ability to directly affect the plot for a limited time,GD
 This lack of player choice necessitates an increase in mechanical complexity and could be used as a metaphor to symbolize depression that is felt by a character in the narrative,GD
"A game's tools and rules will result in its requiring skill, strategy, luck, or a combination thereof, and are classified accordingly",GD
"Games of skill include games of physical skill, such as wrestling, tug of war, hopscotch, target shooting, and horseshoes, and games of mental skill such as checkers and chess",GD
" Games of strategy include checkers, chess, go, arimaa, and tic-tac-toe, and often require special equipment to play them",GD
" Games of chance include gambling games (blackjack, mah-jongg, roulette, etc",GD
"), as well as snakes and ladders and rock, paper, scissors; most require equipment such as cards or dice",GD
Most games contain two or all three of these elements,GD
" For example, American football and baseball involve both physical skill and strategy while tiddlywinks, poker, and Monopoly combine strategy and chance",GD
" Many card and board games combine all three; most trick-taking games involve mental skill, strategy, and an element of chance, as do many strategic board games such as Risk, Settlers of Catan, and Carcassonne",GD
"By learning through play[a] children can develop social and cognitive skills, mature emotionally, and gain the self-confidence required to engage in new experiences and environments",GD
"[16] Key ways that young children learn include playing, being with other people, being active, exploring and new experiences, talking to themselves, communicating with others, meeting physical and mental challenges, being shown how to do new things, practicing and repeating skills, and having fun",GD
"Play develops children's content knowledge and provides children the opportunity to develop social skills, competencies, and disposition to learn",GD
 Play-based learning is based on a Vygotskian model of scaffolding where the teacher pays attention to specific elements of the play activity and provides encouragement and feedback on children's learning,GD
"When children engage in real-life and imaginary activities, play can be challenging in children's thinking",GD
" To extend the learning process, sensitive intervention can be provided with adult support when necessary during play-based learning",GD
Game design is part of a game's development from concept to its final form,GD
" Typically, the development process is an iterative process, with repeated phases of testing and revision",GD
" During revision, additional design or re-design may be needed",GD
"A game designer (or inventor) is the person who invents a game's concept, its central mechanisms, and its rules",GD
"Often, the game designer also invents the game's title and, if the game isn't abstract, its theme",GD
" Sometimes these activities are done by the game publisher, not the designer, or maybe dictated by a licensed property (such as when designing a game based on a film)",GD
"A game developer is the person who fleshes out the details of a game's design, oversees its testing, and revises the game in response to player feedback",GD
"Often the game designer is also its developer, although some publishers do extensive development of games to suit their particular target audience after licensing a game from a designer",GD
" For larger games, such as collectible card games and most video games, a team is used and the designer and developer roles are usually split among multiple people",GD
A game artist is an artist who creates art for one or more types of games,GD
" Game artists are often vital to and credited in role-playing games, collectible card games and video games",GD
"Many graphic elements of games are created by the designer when producing a prototype of the game, revised by the developer based on testing, and then further refined by the artist and combined with artwork as a game is prepared for publication or release",GD
Video game artists are responsible for all of the aspects of game development that call for visual art,GD
"A game concept is an idea for a game, briefly describing its core play mechanisms, who the players represent, and how they win or lose",GD
"A game concept may be ""pitched"" to a game publisher in a similar manner as film ideas are pitched to potential film producers",GD
" Alternatively, game publishers holding a game license to intellectual property in other media may solicit game concepts from several designers before picking one to design a game, typically paying the designer in advance against future royalties",GD
"During design, a game concept is fleshed out",GD
" Mechanisms are specified in terms of components (boards, cards, on-screen entities, etc",GD
) and rules,GD
" The play sequence and possible player actions are defined, as well as how the game starts, ends, and what is its winning condition",GD
" In video games, storyboards and screen mockups may be created",GD
A game prototype is a draft version of a game used for testing,GD
" Typically, creating a prototype marks the shift from game design to game development and testing",GD
" Although prototyping in regards to human-computer interaction and interaction design are both studied, the use of prototyping in game design has remained relatively unexplored",GD
" It's known that game design has clear benefits from prototyping, such as exploring new game design possibilities and technologies, the field of game design has different characteristics than other types of software industries that consider prototyping in game design in a different category and need a new perspectiveGame testing is a major part of game development",GD
" During testing, players play the game and provide feedback on its gameplay, the usability of its components or screen elements, the clarity of its goals and rules, ease of learning, and enjoyment to the game developer",GD
" The developer then revises the design, its components, presentation, and rules before testing it again",GD
 Later testing may take place with focus groups to test consumer reactions before publication,GD
"During testing, various balance issues may be identified, requiring changes to the game's design",GD
Video game testing is a software testing process for quality control of video games,GD
 The primary function of game testing is the discovery and documentation of software defects (aka bugs),GD
" Interactive entertainment software testing is a highly technical field requiring computing expertise, analytic competence, critical evaluation skills, and endurance",GD
" The design of role-playing games requires the establishment of setting, characters, and basic gameplay rules or mechanics",GD
" After a role-playing game is produced, additional design elements are often devised by the players themselves",GD
" In many instances, for example, character creation is left to the players",GD
" Likewise, the progression of a role-playing game is determined in large part by the gamemaster whose individual campaign design may be directed by one of several role-playing game theories",GD
There is no central core for tabletop role-playing game theory because different people want such different things out of the games,GD
" Probably the most famous category of RPG theory, GNS Theory assumes that people want one of three things out of the game â€“ a better, more interestingly challenging game, to create a more interesting story, or a better simulation â€“ in other words better rules to support worldbuilding",GD
" GNS Theory has been abandoned by its creator, partly because it neglects emotional investment, and partly because it just didn't work properly",GD
